statement_id,speaker,speaker_role,quote,passage_context,venue,venue_type,date_value,date_precision,statement_type,search_method,producing_query,source_url,notes
21,David Fizdale,NBA head coach Memphis Grizzlies 2016-2017,"Players in general and coaches pull this card a lot. I'm not sitting here acting like I'm any more original than any other coach. But you're fighting for your team and you're fighting for your life in the playoffs, and you just don't have room to let things go into the next year. The series can be over, so you're always going to fight for your guys.","Speaking Wednesday at Grizzlies practice, the day after the NBA fined Fizdale $30000 for his April 17 postgame rant (take that for data), ESPN reported that Fizdale said he knew the fine was coming but that it did not matter [reporter paraphrase only — not verbatim Fizdale]. His verbatim quoted statement followed: 'Players in general and coaches pull this card a lot,' Fizdale said. 'I'm not sitting here acting like I'm any more original than any other coach. But you're fighting for your team and you're fighting for your life in the playoffs, and you just don't have room to let things go into the next year. The series can be over, so you're always going to fight for your guys.' Also from the same availability: 'It's been fantastic. I have felt that everywhere I've went in the city. The text messages. Obviously, my wife is big into social media, so I get a lot of the social media craziness. It's been some funny stuff. I wasn't expecting all that.'","Press availability at Memphis Grizzlies practice facility, Wednesday April 19 2017",article,2017-04-19,day,reflection,coach_name_search,improvised-supplemental after q4 and q7: David Fizdale basketball take-that-for-data reflection OR regret OR proud OR interview (ESPN fine article surfaced through this investigation),https://www.espn.com/nba/story/_/id/19194858/mike-conley-griz-players-pay-david-fizdale-30k-fine,Apr 17 postgame rant itself (take that for data etc.) is object-level podium talk OUT per instructions; this Apr 19 statement reflects on why coaches make such public statements and is IN; reporter paraphrase (knew the fine was coming but it did not matter) precedes the verbatim quote but is not verbatim Fizdale and is not the candidate quote; producing query was improvised supplemental noted honestly
22,Cheryl Reeve,"Head Coach and President of Basketball Operations, Minnesota Lynx, WNBA","An unprecedented response. Those are things you can't anticipate in the moment. I think for me, being a principled person, there are things I care deeply about. And that's my players' health and safety. That's the fairness to our organization. And when those things are challenged, if I'm not going to speak up, who's going to?","Obviously, not easy. That's probably an understatement. An unprecedented response. Those are things you can't anticipate in the moment. I think for me, being a principled person, there are things I care deeply about. And that's my players' health and safety. That's the fairness to our organization. And when those things are challenged, if I'm not going to speak up, who's going to? So I feel a great responsibility to that end. I wish I was with the team in the last game, but obviously not. So it was hard. Really hard.","Season-end exit interview, Minnesota Lynx, reported by Sports Illustrated",article,2025-09-30,day,reflection,coach_name_search,"""Cheryl Reeve"" basketball ""call out""",https://www.si.com/onsi/womens-fastbreak/news/cheryl-reeve-gets-blunt-about-unprecedented-15-000-wnba-fine-for-referee-tirade-01k6dxq0m5h3,Object-level officiating criticism from the September 26 postgame press conference is excluded; only this exit interview meta-reflection qualifies. Reeve was fined a record $15000 and suspended for Game 4 of 2025 WNBA playoffs after her postgame press conference comments about officiating. Quotes verified via multiple WebFetch calls to SI article.
23,Dan Issel,Denver Nuggets head coach (1992-95; first season at publication); Hall of Fame player; out-of-roster NBA coach (tenure predates the 2006-2025 frame),"I look at it the same way as when I was a player. If I had a game where I stunk up the joint, then I expected the reports to be that I was bad. I think that's the way it's supposed to be. There's only been a couple of articles in the paper that I thought were unfair, negatively unfair. But you're going to have that all the time, so it hasn't been that bad.","Midway through the season, Issel ordered writers moved down the press table away from the Nuggets bench so his timeout tirades could not be quoted in the papers. For all the public criticism of Moe for his sideline profanity and Westhead for his sideline silence, neither took that step. ""I look at it the same way as when I was a player,"" Issel said. ""If I had a game where I stunk up the joint, then I expected the reports to be that I was bad. I think that's the way it's supposed to be. There's only been a couple of articles in the paper that I thought were unfair, negatively unfair. But you're going to have that all the time, so it hasn't been that bad.""","Rocky Mountain News, season-end feature interview (Dave Krieger)",newspaper_article,1993-04-20,day,personal rule,topic_search_database,"AWN slot 13: basketball coach ""media relations"" advice (alltext), page 3 rank 18",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EB4DC604CB40752,"Attribution interjection removed at quote join. Passage context carries the narrated press-table quote-control move (no direct quote of it exists — Valvano-class, noted). C50-C52/T04-T05 same-source precedent: distinct statement from the same interview as the companion row. Archive awnf_s13p3_r18_issel."
24,John Calipari,"Head Coach, University of Kentucky (NCAA basketball)",I don't need to explain myself to my friends. They don't need to hear it. The others don't need to hear it anyway. Some like you; some don't. I'm not here for a popularity contest. I coach young people.,"Q. Cal, you dodged the lightning bolt question a minute ago. There are some strong opinions about you, positive and negative. How do you react to that? What do you think your image is nationally? CALIPARI: Depends on who you talk to, I guess. I don't need to explain myself to my friends. They don't need to hear it. The others don't need to hear it anyway. Some like you; some don't. I'm not here for a popularity contest. I coach young people. I'm worried about those 13, I'm worried about their families, I'm worried about the campus, I'm worried about the city I live in, the state I live in. Other than that, I'm not. If you beat somebody five times in a row, I don't think their fans are all going to be happy with you. If they are, it's probably 400 showed up for the game. But that's all part of what we do.","ASAP Sports press conference transcript, 2012 NCAA Men's Final Four, New Orleans, April 1, 2012",presser_transcript,2012-04-01,day,personal rule,coach_name_search,"site:asapsports.com ""John Calipari"" basketball [query 10]",http://www.asapsports.com/show_interview.php?id=78966,Statement is about non-engagement with critics generally rather than press conferences specifically; borderline because the communication philosophy is inferred from not-explaining-himself stance rather than named as a media rule. Query 10 yielded multiple ASAP transcripts; 2015 Final Four transcript (ID 108066) confirmed already-in-corpus quote; 2025 Arkansas vs Kansas transcript (ID 205660) yielded near-miss ('should I say it that way?'). The 2012 Final Four transcript (ID 78966) is the current candidate source.
25,Flip Saunders,"Minnesota Timberwolves head coach (at publication); later Detroit, Washington, Minnesota; recently-active roster coach",I think the thing is you have to deal with coaching players and dealing with the media within your personality. My only advice to anybody is you have to do what is comfortable.,"One of the reasons Saunders makes himself so accessible - especially in the case of talk radio - is because he understands the media's role. ""A lot of times things they do are to create listenership,"" he said. ""I kind of take everything with a grain of salt and look at it more as an enjoyable fun type of thing rather than a thing that can be adversarial."" While Saunders is comfortable taking this approach, he said the same cooperation can't be expected from everyone. ""I think the thing is you have to deal with coaching players and dealing with the media within your personality,"" he said. ""My only advice to anybody is you have to do what is comfortable.""","Minnesota Star Tribune, BROADCAST SPORTS column (Judd Zulgad)",newspaper_article,2000-03-03,day,advice,topic_search_database,"AWN slot 2: basketball coach ""dealing with the media"" advice (alltext), page 1 rank 19",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EFCCD12B3C9D073,"Attribution interjection ('he said') removed at quote join, both sentences verbatim contiguous in source. Speaker expected in frame roster - roster_match to be verified at any merge build. Source is the Star Tribune, a documented census paywall block (429). SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07). PROQUEST RE-FIND 2026-07-09 (run log slot 2 r29): the same Star Tribune column page, dated 2000-03-03, was independently re-found and its OCR text re-verifies this passage and date. First observed AWN/ProQuest cross-vendor overlap."
26,Doug Collins,NBA head coach (Chicago Bulls 1986–89; Detroit Pistons 1995–98; Washington Wizards 2001–03; Philadelphia 76ers 2010–13); Naismith Memorial Basketball Hall of Fame inductee 2024,I thought I was just talking about sort of what I expected. And I think as a coach that's what you do -- there was nobody called out.,"Collins, speaking to reporters at a Sixers practice the day after his viral 11-minute postgame press conference, reflected: ""I guess I was trending,"" Collins joked. ""Viral, trending. I said, 'What is all this stuff?' It was interesting, I went back and I thought, 'Wait a second,' I didn't get the slam, I didn't get being hard, all that kind of stuff. I thought I was just talking about sort of what I expected. And I think as a coach that's what you do -- there was nobody called out. I've always been disappointed if I felt like the team didn't do everything we could to win. I was trying to get the spin on this about how this was spun that I was being so hard. But I don't think I did that at all. I was shocked, my phone was blowing up on me and stuff like that. I didn't realize I had been so tough.""",Collins surprised by stir over comments — ESPN Bulls Blog; corroborated by Collins shocked by reaction to postgame rant — NBC Sports Philadelphia,article,2013-03-01,day,reflection,coach_name_search,"""Doug Collins"" basketball coach ""call out"" (query 4)",https://www.espn.com/blog/chicago/bulls/post/_/id/12381/collins-surprised-by-stir-over-comments,Corroborated verbatim at https://www.nbcsportsphiladelphia.com/nba/collins-shocked-by-reaction-to-postgame-rant/391585/ (Feb 28 / Mar 1 2013); original rant was an 11-minute February 27 2013 postgame press conference after 76ers loss to Orlando Magic; Collins also adds 'I have never been a guy that if you lost a game but competed to your best I was never disappointed' — this extends the personal rule (disappointment threshold drives public criticism); basketball identity confirmed: Paul Douglas Collins born July 28 1951 former Sixers player turned NBA head coach and broadcaster — not Rep. Doug Collins (Georgia politician)
27,John Wooden,"College head coach (UCLA, 1948-1975)","I would never publicly criticize a player for poor performance. Even in moments of extreme frustration, I would check myself because it just didn't seem right—because it didn't seem like something my father would have done.","In his book with Don Yaeger, A Game Plan for Life, Coach expanded on how his father's example impacted the way he talked about his players: I would never publicly criticize a player for poor performance. Even in moments of extreme frustration, I would check myself because it just didn't seem right—because it didn't seem like something my father would have done. I admired my father's refusal to speak badly about others, but I don't think I necessarily set out to make that a rule for myself. I imagine I considered that to be too lofty a goal. Yet as time went on, I found it was a practice that had etched itself onto my soul, so that if I ever slipped up on that matter, I felt pain rather than satisfaction.","A Game Plan for Life (book with Don Yaeger), quoted at TheWoodenEffect.com",book,2009,year,personal rule,coach_name_search,"""John Wooden"" book excerpt criticize player publicly press",https://www.thewoodeneffect.com/never-criticize-keep-it-positive/,"Verified verbatim on TheWoodenEffect.com (official Wooden-family site, page dated 2019-07-10), which attributes it to A Game Plan for Life (2009); book text itself not independently checked. Secondary source page. Attribution given as A Game Plan for Life (Wooden with Don Yaeger). Text verbatim as rendered on secondary source page; introductory framing sentence is from the secondary-source author. No Open Library search attempted for this item."
28,Andrea Kirby,"Founder, Andrea Kirby Coaches Inc.; former sportscaster; pioneer professional media coach for athletes and coaches (2,000+ clients incl. NBA teams); professional coach advisor",He learned how he looked - stupid - and why writers were asking him those questions. He learned the questions weren't personal and how to answer them.,"Among the biggest concerns athletes have is feeling out of control in front of the press, Kirby says. ""The most common mistakes they make are they assume [the press] is all out to get them, some think they don't need the media, others think they have to be different or perfect, and that they have to answer the question. All of those are wrong. My whole drill is to ... get them in the right attitude and then teach them some skills, and one of the key skills is to tell stories."" ... In a press conference this year new Toronto Raptors coach Darrell Walker was defensive, feisty, and rude when asked to answer questions about his star player. Not only did he use profanity, but he ridiculed reporters. During a workshop for the team's coaches and managers, Kirby showed the tape. ""He learned how he looked - stupid - and why writers were asking him those questions,"" she says. ""He learned the questions weren't personal and how to answer them.""","The Christian Science Monitor, feature on sports media coaching",newspaper_article,1997-07-09,day,advice,topic_search_database,"AWN slot 4: how basketball coaches should handle the media (alltext), page 2 rank 3",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EB41EF88E1FCFAE,"BORDERLINE under the 2026-07-06 basketball-specific ruling: Kirby's practice and the main quote span all sports; the basketball-specific span is the Walker presser-conduct passage (included in passage_context). Bracketed [the press] and mid-quote ellipsis are IN THE SOURCE as printed. FIRST female professional-adviser speaker if kept. QUOTE CORRECTION 2026-07-07 (directing session, Ken's R2 adviser-specificity ruling): the originally recorded quote was Kirby's generic all-sports advice span ('The most common mistakes they make...'), excluded under the ruling; the item is re-anchored to the basketball-specific Walker span from the same source passage. The generic span remains visible in passage_context. Attribution interjection ('she says') removed at the sentence join. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07)."
29,Paul Hewitt,Georgia Tech men's head basketball coach (2000-2011); out-of-roster college coach,"You read so many stories about how kids are making poor decisions in what they send out. Sometimes the coaches do, too.","Shumpert didn't make much of an argument with his coach, nor did he have room to because Hewitt has taken his own advice. Hewitt had a bad experience with Twitter last season and has stopped tweeting for now. ""You read so many stories about how kids are making poor decisions in what they send out,"" Hewitt said. ""Sometimes the coaches do, too."" He laughed. He was alluding to his exchange with Tech fans on Twitter in February, when he called out critics and challenged fans not ""to be judgmental"" but to support the team, creating a backlash.","The Atlanta Journal-Constitution, ACC Media Day story on coaches' use of Twitter (Carroll Rogers)",newspaper_article,2010-10-26,day,reflection,topic_search_database,"AWN slot 4: how basketball coaches should handle the media (alltext), page 8 rank 1",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/1331A16D4B1664E8,"Attribution interjection removed at quote join. D1 social-media venue scope: coach meta-statement about public posting, printed in a newspaper. His player-directed line ('I always tell them, You're not that important') EXCLUDED under R1. Archive awnf_s4p8_r1_twitter."
30,Roy Williams,UNC/Kansas head basketball coach,"There was a time that I wanted to make sure that I almost never cursed. And then I started getting away from that. And, so, when I did that, I wanted to try to not get out of hand. And, so, dadgum was very easy because I used that my whole life, even when I was a kid in high school. And then people laughed at it and I always thought, ""let's just give them something to complain about."" ... I didn't want the real bad ones, to say the least. ... I'll have years where I'll be a lot better than other years. Only the last five or six have I felt like I've done a poor job of that. The rest of the time, I thought I've done all right.","On the ""Royisms"" episode of ""Roy: That Dadgum Legend"" podcast, Williams explains his approach to cursing in public (the article separately notes an actual curse word ""slipped out during a Notre Dame press conference""), describing a self-imposed limit (e.g., aiming for no more than seven curse words his first year at Kansas) and his substitute word ""dadgum"": ""There was a time that I wanted to make sure that I almost never cursed. And then I started getting away from that. And, so, when I did that, I wanted to try to not get out of hand. And, so, dadgum was very easy because I used that my whole life, even when I was a kid in high school. And then people laughed at it and I always thought, ""let's just give them something to complain about."" ... I didn't want the real bad ones, to say the least. ... I'll have years where I'll be a lot better than other years. Only the last five or six have I felt like I've done a poor job of that. The rest of the time, I thought I've done all right.""","""Roy: That Dadgum Legend"" podcast (Capitol Broadcasting/WCMC), as reported by Tar Heel Tribune",podcast,2021-10-27,day,personal rule,coach_name_search,"Q9 - ""Roy Williams"" basketball podcast (media OR press)",https://tarheeltribune.com/2021/10/27/in-podcast-roy-talks-bernstein-interview-cursing-and-why-he-said-yes-to-unc-the-2nd-time/,
31,Rick Pitino,"college head coach (St. John's 2023- ; formerly Providence, Kentucky, Louisville, Iona; NBA Knicks and Celtics)","I should never, ever mention a name","He took responsibility for singling players out in front of the media. ""I should never, ever mention a name,"" Pitino said. ""I'm a veteran coach. I tell every young coach in the business: Show class when you win; show class when you lose; give the other team credit.""","Remarks to media, February 21, 2024, quoted in Yahoo Sports article",article,2024-02-21,day,personal rule,coach_name_search,"""Rick Pitino"" publicly",https://sports.yahoo.com/rick-pitino-apologizes-for-publicly-criticizing-st-johns-players-takes-all-the-blame-i-have-failed-them-172552900.html,"Same fetched article also quotes: ""I wasn't ripping them. That wasn't my intent. But words matter."" and ""I'm a veteran coach. I tell every young coach in the business: Show class when you win; show class when you lose""; context: apology for criticizing St. John's players by name after the Feb 18, 2024 Seton Hall loss. Yahoo Sports article. Quote confirmed verbatim. WebFetch rendered 'l tell' (lowercase-L) in one pass — likely serif font-rendering artifact for 'I tell'; passage_context uses corrected form."
32,Billy Donovan,"Head coach, men's basketball, University of Florida (1996-2015; at time of statement)","When people start getting into forecasting where they're going to be or what they're going to do, and I've seen a lot of coaches over the years come out and say, 'No, no, no, no, I'm not going anywhere, I'm not going anywhere,' and then all of a sudden they go somewhere, and it's like, 'Well, this guy is a complete liar.' I don't want to get into that situation.","Donovan was speaking to reporters about NBA coaching interest (the Cleveland Cavaliers had reportedly contacted him) while he remained at Florida. He said: 'All I can say is I love Florida, I'm happy here ... the school's been great to me. But at the same point, some of the NBA stuff, as I've said before, is intriguing in a lot of ways -- the basketball part of it.' He then said: 'I think when you start making guarantees about life and start making guarantees about where you're going to be, that's not good because if for some reason I ever change my mind and did something, I wouldn't want (people) saying, ""Well, he promised, he guaranteed, he said this on record."" I just think when you start doing that, that's a mistake.' He continued: 'When people start getting into forecasting where they're going to be or what they're going to do, and I've seen a lot of coaches over the years come out and say, ""No, no, no, no, I'm not going anywhere, I'm not going anywhere,"" and then all of a sudden they go somewhere, and it's like, ""Well, this guy is a complete liar."" I don't want to get into that situation.'","ESPN Men's College Basketball Blog, article titled ""Billy Donovan doesn't want to lie to you"", by Eamonn Brennan",article,2014-05-28,day,personal rule,coach_name_search,Billy Donovan not going to come up with something else how can I be honest with the players [partial-quote follow-up search that surfaced this article as a related result],http://www.espn.com/blog/collegebasketballnation/post/_/id/99120/billy-donovan-doesnt-want-to-lie-to-you,"Article by Eamonn Brennan, ESPN blog, May 28 2014. Context: NBA interest in Donovan while at Florida; Cleveland Cavaliers reportedly contacted him. Article surfaced via partial-quote follow-up search during verification of the Sun-Times Donovan candidates. Identity confirmed: University of Florida men's basketball head coach."
33,Dave Joerger,NBA head coach Sacramento Kings 2016-2019,"There was no veiled shots at anybody. [De'Aaron Fox] gushed about him, and [Bogdan Bogdanovic] gushed about him and his ability. It was just out of love and positivity, and people tried to turn it into something between like [Kings general manager Vlade Divac] and I. Vlade and I are [close], like absolutely. Three years now we've been working together, and we love it. I love it.","Joerger told reporters in Minnesota on Monday, a day after his praise for Doncic in Dallas made headlines. On Sunday in Dallas Joerger had said: 'Perhaps there was an idea that there was a ceiling on him. I don't see it, unfortunately for us. But he's great for them and he's great for our league.' Joerger then clarified on Monday: 'There was no veiled shots at anybody. [De'Aaron Fox] gushed about him, and [Bogdan Bogdanovic] gushed about him and his ability. It was just out of love and positivity, and people tried to turn it into something between like [Kings general manager Vlade Divac] and I. Vlade and I are [close], like absolutely. Three years now we've been working together, and we love it. I love it.' Joerger also said: 'When we drafted Marvin at 2, we were high-fiving like crazy. We got the right guy for us and where we're going to be.'",Press availability to reporters in Minneapolis (Timberwolves game day),article,2018-12-17,day,reflection,coach_name_search,q4-ALWAYS20-p2: Dave Joerger basketball call-out critic OR criticism OR publicly (lead surfaced Joerger/Divac/Doncic story; followed up with Dave Joerger Luka Doncic Marvin Bagley draft press media quote),https://www.espn.com/nba/story/_/id/25561727/sacramento-kings-coach-dave-joerger-no-veiled-shots-anybody-praising-dallas-mavericks-rookie-luka-doncic,Original statement made Dec 16 in Dallas; clarification Dec 17 in Minneapolis; editorial brackets in printed quote are as printed in ESPN article; second Joerger quote (When we drafted Marvin at 2 ...) recorded in passage_context only
34,Mark Jackson,"Head coach, Golden State Warriors, discussing his prior broadcasting career","I'm not doing it to kill anybody. All I'm doing is speaking the facts, the same way if a coach would make a mistake, I'm going to speak the facts... Just because I'm a coach, I'm not going to all of a sudden think that every coach makes the right move. That's just not the case. I'm just going to speak the facts.","Asked, ""Did any players ever come up to you after games and argue with what you said on television?"" Jackson answered: ""Oh, yeah. There weren't a lot. In six or seven years, I've probably had only one guy really upset at something that I said, and that guy I know very well"" (an account strongly implying Jason Kidd, then with the Nets, not speaking to him for a period after on-air criticism). He continued: ""I'm not doing it to kill anybody. All I'm doing is speaking the facts, the same way if a coach would make a mistake, I'm going to speak the facts."" And: ""Just because I'm a coach, I'm not going to all of a sudden think that every coach makes the right move. That's just not the case. I'm just going to speak the facts.""","Grantland, The Triangle (Jonathan Abrams)",article,2011-10-12,day,personal rule,coach_name_search,book excerpt (media OR press),https://grantland.com/the-triangle/qa-golden-state-warriors-coach-mark-jackson/,Grantland is defunct but this page still resolves live. WebFetch's intermediary model declined to reproduce longer spans citing copyright; passage reconstructed from two independent fetch passes that agreed on wording.
35,Jim Boeheim,college head coach (Syracuse 1976-2023),"I would like to clarify remarks I made in a conversation I had with a media member following our game on Saturday evening. I apologize to the schools I mentioned. I believe the ACC member institutions are in compliance with NCAA rules governing Name, Image and Likeness (NIL). It was not my intention to imply otherwise.","Syracuse men's basketball coach Jim Boeheim has issued an apology after claiming other ACC schools have deceitfully used NIL to build their rosters. ""I would like to clarify remarks I made in a conversation I had with a media member following our game on Saturday evening,"" Boeheim said in a statement. ""I apologize to the schools I mentioned. I believe the ACC member institutions are in compliance with NCAA rules governing Name, Image and Likeness (NIL). It was not my intention to imply otherwise.""","Written statement, February 6, 2023, quoted in Fox Sports story",article,2023-02-06,day,reflection,coach_name_search,"""Jim Boeheim"" apology 2021 reporter height ""I shouldn't have""",https://amp.foxsports.com/stories/college-basketball/syracuse-coach-jim-boeheim-college-basketball-in-awful-place,"Original remarks (that Pittsburgh, Wake Forest and Miami 'bought' their teams) were made to a media member Feb 4, 2023; follow-up query descended from prescribed ""Jim Boeheim"" ""press conference"". Fox Sports AMP page. Quote confirmed verbatim across multiple fetches. Surrounding prose confirmed via WebFetch re-fetch."
36,Don Sicko,"Former NCAA Division I men's head basketball coach, Detroit Mercy Titans (1982-1987); prior assistant at Michigan and Kent State; professional scout and hoopcoach.org contributor (identity confirmed by agent t14 via Wikipedia, sports-reference and coachesdatabase); out-of-roster coach","But, don't be over-apologetic either. Keep your level of disappointment at a minimum. Be even-keeled and don't let despair or pessimism seep into your words. Every time you speak publicly, it's an opportunity to ""coach"" your players, constituents and even the media themselves. Don't over-speak. That's often when you can be misinterpreted. Be yourself but be your best self.","Now, most coaches don't and can't have the same ""juice"" as Bird and Rivers but there are certain attributes that all coaches can recognize and put to work when working with the media: Be comfortable in your own skin. Don't try to be ""like"" someone else. Be conversational. That's really what it is. Be respectful of the questioner and everyone and everything you discuss. The moment you're not, it will bite you back. Word always gets back. If a question seems adversarial, don't reciprocate. If a question seems ""dumb"", maybe it is, but answer it as if it isn't. Be humble if things are going well or not. But, don't be over-apologetic either. Keep your level of disappointment at a minimum. Be even-keeled and don't let despair or pessimism seep into your words. Every time you speak publicly, it's an opportunity to ""coach"" your players, constituents and even the media themselves. Don't over-speak. That's often when you can be misinterpreted. Be yourself but be your best self. There are many ways to build a program and media opportunities are great vehicles. Work on this aspect of the profession like you do at all other aspects. Some coaches are great at this phase but all coaches can be effective.","'10 Tips for Coaches to Deal with the Media', hoopcoach.org (Don Sicko)",article,2016-05-13,day,advice,topic_search_open_web,"slot 2 (t2, reissue 1) and slot 4 (t4, near-miss): excluded by both agents on the live page's post-cutoff byline; re-dated and recovered by the directing session via Wayback CDX (19 captures 2016-2025) and the 2016 snapshot",https://www.hoopcoach.org/10-tips-for-coaches-to-deal-with-the-media/,RECOVERY PROVENANCE: agent t2 verified the 'Don't over-speak' tip verbatim on the live page; full text verified by the directing session in the 2016 snapshot; quote is a run of consecutive list items with order preserved and nothing omitted (list line breaks flattened to spaces). Author bio is the on-page source for the D1-head-coach claim; his specific program was not independently identified - flagged. Out-of-roster coach: collect and flag per D6. SPEAKER ENRICHMENT 2026-07-05: role updated with agent t14's identity confirmation.
37,George Karl,former NBA head coach,"Probably to be more careful. For me, I was thinking about a conversation with the fan. The filter that coaches have to have on when they're coaching, I probably took that off a little too much.","Q: What would you tell your past self before starting this project, knowing how it has been received? A: 'Probably to be more careful. For me, I was thinking about a conversation with the fan. The filter that coaches have to have on when they're coaching, I probably took that off a little too much. Again, it's the first time I've gone through this process.'",Sports Illustrated Q&A — 'George Karl Q&A: This Isn't What I Wanted',article,2017-01-11,day,reflection,coach_name_search,"[""George Karl"" basketball book excerpt (media OR press)]",https://www.si.com/nba/2017/01/11/george-karl-book-furious-george-reaction-carmelo-anthony-kings-nuggets,Q&A conducted by SI after backlash from Furious George book publication; Karl is reflecting on the difference between how coaches communicate publicly while active vs. how he communicated in the memoir. The 'filter' framing states a generalizable coaches' norm about public speech.
38,Al McGuire,"Naismith Hall of Fame coach (Marquette, 1977 NCAA champion); NBC college basketball analyst at publication; CLASSIC ROSTER COACH",You must say what you think with no fear. I don't think you should try to create a Nagasaki or a Hiroshima. I don't think you should try to create an incident. But you have to say what you think.,"McGuire: I can't be your friend and your flatterer, too. I'm behind the mike for two hours, and I have to say what I think. And I say it before the fact. Sometimes it's easy and sometimes it's not. I'm not a patsy. I'm not a house man. And I think a lot of the young people trying to get into it are becoming house men. They seem to be favoring what the station or the commissioner of the conference wants. And I think with these people - these guys and girls who are moving into TV - that will only last for a year or so and they'll end up as kamikaze pilots. You must say what you think with no fear. I don't think you should try to create a Nagasaki or a Hiroshima. I don't think you should try to create an incident. But you have to say what you think.","Rocky Mountain News, NCAA Final Four preview column (teleconference interview with Randy Holtz; joint Vitale/McGuire feature)",newspaper_article,1990-03-26,day,personal rule,topic_search_database,"AWN slot 4: how basketball coaches should handle the media (alltext), page 2 rank 6",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EB4D5839A13CCE0,"Same source also contains a second McGuire span ('I really don't read the papers... I never did even as a coach') reaching back to his coaching practice - candidate extension for Ken. Venue is his analyst role, post-coaching; roster membership is via HOF coach category. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07)."
39,Bill Self,"Head coach, men's basketball, University of Kansas; Naismith Basketball Hall of Fame inductee (2024); active","I shouldn't have done it, because all it did was bring more attention to what was said.","Self released a statement on X requesting any criticism about the team be directed at him, after Kansas guard Zeke Mayo posted racist and threatening messages he had received following the Jayhawks' loss to Texas Tech. In a subsequent Sunday night telephone interview, Self said: 'I shouldn't have done it, because all it did was bring more attention to what was said.' He added: 'I feel like there's been some unfair personal attacks and criticism, but not by people that matter. A lot of that comes from people who are not KU fans.' He also said: 'So much of young people's identify is what people are saying about them on social media. I wanted to get that point out that these kids care.'","Hoops HQ, article titled ""I Shouldn't Have Done It"": Bill Self Regrets Addressing Social Media Hate, by Seth Davis",article,2025-03-03,day,reflection,coach_name_search,Bill Self basketball publicly statement apology retract walk back reporters,https://www.hoopshq.com/big-12/ncaa-mens-basketball-kansas-jayhawks-zeke-mayo,Self issued the original statement on X on approximately March 1-2 2025 (after Saturday game vs. Texas Tech); the reflection/regret quote appeared in the subsequent telephone interview with Seth Davis published March 3 2025. Near-cutoff: TRUE (2025). Identity confirmed: Kansas men's basketball head coach.
40,John Calipari,"Head Coach, New Jersey Nets (NBA)","I would like to apologize to Dan Garcia for my ill-advised attempt at humor and insensitivity for the remark. In retrospect, I can understand how the remark could have been misinterpreted. I have apologized to him personally and in writing. In no way was my intent to be derogatory in a racial context, and I am sorry for any pain my remarks have caused.","Calipari, then coaching the New Jersey Nets, made the offensive remark to Star-Ledger reporter Dan Garcia during an interaction the previous week. He delivered this prepared statement before a game against the Lakers at the Meadowlands, acknowledging the incident and attempting to explain it as a failed attempt at humor that caused offense. Calipari stated: ""I would like to apologize to Dan Garcia for my ill-advised attempt at humor and insensitivity for the remark. In retrospect, I can understand how the remark could have been misinterpreted. I have apologized to him personally and in writing. In no way was my intent to be derogatory in a racial context, and I am sorry for any pain my remarks have caused.""","Pre-game prepared statement, Meadowlands Arena, NJ (before NJ Nets vs. Los Angeles Lakers, c. March 24-25, 1997)",other,1997-03-25,day,reflection,coach_name_search,"""John Calipari"" basketball book excerpt (media OR press) [query 8 surfaced Bounce Back review citing incident; partial-quote follow-up search led to CBS Sports source]",https://www.cbssports.com/nba/news/john-calipari-to-pay-phones-journey-down-the-rabbit-hole/,Original remark in parking lot after practice; apology delivered as formal prepared statement before a game. CBS Sports source is a retrospective feature piece but quotes verbatim prepared statement. Provenance is speaker-authored/verbatim-contemporaneous (publicly delivered prepared statement widely reported in contemporaneous press).
41,Rick Pitino,basketball coach (author),"...and I was criticized for what I said during the press conference. One thing that I came to realize is that in the midst of a bad situation, when something comes out and you want to answer it, don't answer it. Nothing good can come of it.","...and I was criticized for what I said during the press conference. One thing that I came to realize is that in the midst of a bad situation, when something comes out and you want to answer it, don't answer it. Nothing good can come of it. [Fuller surrounding sentences before/after this passage were not retrievable beyond the Internet Archive search-inside snippet window -- see notes.]","The One-Day Contract: How to Add Value to Every Minute of Your Life (Rick Pitino with Eric Crawford, St. Martin's Press, 2013)",book,2013,year,personal rule,coach_name_search,Q12 - archive.org/openlibrary full-text channel,https://archive.org/details/onedaycontractho0000piti,"Speaker-authored memoir/self-help book -- satisfies PROVENANCE(B). Quote assembled from multiple confirmed overlapping snippets via chained Internet Archive search-inside queries (openlibrary.org/search/inside.json), across two scanned editions (identifiers onedaycontractho0000piti and onedaycontractho0000piti_x3p6). Text before ""and I was criticized"" not retrievable beyond the snippet window; book not otherwise browsable in this account."
